Ranks,Majors,School Types,Early Pay,Mid Career Pay,High Meaning
1,Petroleum,Bachelors,93200,187300,67%
2,Operations,Bachelors,84800,170400,28%
3,Electrical,Bachelors,108500,159300,46%
4,Interaction,Bachelors,68300,155800,55%
5,Public,Bachelors,59800,147700,47%
6,Operations,Bachelors,83500,147400,54%
7,Applied,Bachelors,66100,146400,67%
8,Business,Bachelors,73000,143600,-
9,Actuarial,Bachelors,64300,143400,51%
10,Electrical,Bachelors,76100,142600,68%
11,Information,Bachelors,58600,140900,62%
12,Aeronautics,Bachelors,77600,139600,56%
13,Systems,Bachelors,77700,139200,53%
14,Econometrics,Bachelors,64200,139000,35%
15,Pharmacy,Bachelors,68600,138700,78%
16,Aerospace,Bachelors,55800,136600,-
17,Building,Bachelors,53800,135900,53%
17,Chemical,Bachelors,76900,135900,55%
19,Cognitive,Bachelors,68700,135200,42%
20,Actuarial,Bachelors,67700,134400,43%
21,Political,Bachelors,65100,133500,29%
22,Computer,Bachelors,79000,133200,51%
23,Electrical,Bachelors,78100,131600,49%
24,Computer,Bachelors,79400,131300,44%
24,Marine,Bachelors,79900,131300,60%
26,Aeronautical,Bachelors,74700,131100,66%
27,Computer,Bachelors,79000,131000,46%
28,Naval,Bachelors,74400,130700,49%
29,Entrepreneurship,Bachelors,51400,129800,45%
30,Corporate,Bachelors,65200,129700,55%
31,Mechatronics,Bachelors,72800,129600,48%
32,Nuclear,Bachelors,76400,129400,62%
33,Electrical,Bachelors,75600,127700,54%
33,Foreign,Bachelors,54800,127700,36%
35,Marine,Bachelors,71100,127500,-
36,Mechanical,Bachelors,70900,126900,60%
37,Welding,Bachelors,81000,126600,56%
38,Instrumentation,Bachelors,73100,126400,-
39,Computational,Bachelors,75500,126000,45%
40,Electrical,Bachelors,74700,125800,56%
41,Aerospace,Bachelors,74300,125700,55%
42,Astronomy,Bachelors,66600,125400,47%
42,Optical,Bachelors,71000,125400,-
42,Quantitative,Bachelors,74000,125400,37%
45,Computer,Bachelors,70500,125100,43%
46,Industrial,Bachelors,73100,124800,48%
47,Economics,Bachelors,68200,124100,35%
48,Biomedical,Bachelors,71300,123600,72%
48,Managerial,Bachelors,65200,123600,41%
50,Computer,Bachelors,75100,123400,42%
50,Physics,Bachelors,56500,123400,36%
52,Petroleum,Bachelors,59300,123100,-
52,Bioscience,Bachelors,49200,123100,-
54,Electronics,Bachelors,67400,122900,51%
55,Control,Bachelors,69700,122800,61%
56,Pharmacology,Bachelors,57700,122700,-
57,Business,Bachelors,63200,122300,46%
58,Aeronautical,Bachelors,56000,122200,50%
58,Metallurgical,Bachelors,81800,122200,61%
60,Engineering,Bachelors,67900,122100,45%
61,Applied,Bachelors,68300,122000,40%
62,Chemical,Bachelors,76800,121900,48%
63,Materials,Bachelors,67100,121800,-
64,Engineering,Bachelors,69900,121700,59%
65,Ocean,Bachelors,69400,121400,51%
66,Bioengineering,Bachelors,70900,121300,67%
67,Aeronautical,Bachelors,76900,121200,53%
68,Integrated,Bachelors,65200,121100,56%
69,Operations,Bachelors,66100,120900,38%
70,Software,Bachelors,75000,120000,43%
71,Physics,Bachelors,65900,119700,48%
72,Quantitative,Bachelors,65000,119600,43%
73,Computer,Bachelors,63600,119500,55%
74,Geophysics,Bachelors,58000,119000,47%
75,Accounting,Bachelors,65900,118900,44%
76,Physician,Bachelors,95900,118500,84%
77,Mining,Bachelors,78800,118300,64%
78,Construction,Bachelors,68800,118200,57%
79,Mechanical,Bachelors,71000,117600,50%
